Species,Virus name,Isolate,Accession,Available sequence,Abbrev
Tomato yellow leaf curl Sardinia virus,tomato yellow leaf curl Sardinia virus,Italy/Sardinia/1988,X61153,Complete genome,TYLCSaV
Tomato yellow leaf curl Shuangbai virus,tomato yellow leaf curl Shuangbai virus,China-Y4536-2014,KT962229,Complete genome,TYLCShV
Tomato yellow leaf curl Thailand virus,tomato yellow leaf curl Thailand virus,Thailand/2/A,DNA-A: AF141922;DNA-B: AF141897,Complete genome,TYLCTHV/A
Tomato yellow leaf curl Thailand virus,tomato yellow leaf curl Thailand virus,Thailand/Chiang Mai/B,DNA-A: AY514630,Complete genome,TYLCTHV/B
Tomato yellow leaf curl Thailand virus,tomato yellow leaf curl Thailand virus,China/Yunnan 72/2002/C,DNA-A: AJ495812,Complete genome,TYLCTHV/C
Tomato yellow leaf curl Thailand virus,tomato yellow leaf curl Thailand virus,Myanmar/Yangon/1999/D,DNA-A: AF206674,Complete genome,TYLCTHV/D
Tomato yellow leaf curl Thailand virus,tomato yellow leaf curl Thailand virus,Thailand/Sakon Nakhon/E,DNA-A: AY514632,Complete genome,TYLCTHV/E
Tomato yellow leaf curl Vietnam virus,tomato yellow leaf curl Vietnam virus,Vietnam/Hanoi/2005,DNA-A: DQ641697,Complete genome,TYLCVV
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Spain/Almeria/Pepper/1999,AJ489258,Complete genome,TYLCV
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Iran/Genaveh 29/2006/Boushehr,GU076454,Complete genome,TYLCV/Bou
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Iran/Iranshahr/1998/Iran,AJ132711,Complete genome,TYLCV/IR
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Iran/Kahnooj/2007/Kahnoo,EU635776,Complete genome,TYLCV/Kah
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Iran/Hormozgan 32/2006/Kerman,GU076442,Complete genome,TYLCV/Ker
Tomato yellow leaf curl virus,tomato yellow leaf curl virus,Israel/1993/Mild,X76319,Complete genome,TYLCV/Mld
Tomato yellow leaf curl Yunnan virus,tomato yellow leaf curl Yunnan virus,China-YN2013-2011,DNA-A: KC686705,Complete genome,TYLCYnV
Tomato yellow leaf deformation dwarf virus,tomato yellow leaf deformation dwarf virus,BR-TO_83-08,DNA-A: MN145942;DNA-B: MN145943,Complete genome,ToYLDeDV
Tomato yellow leaf distortion virus,tomato yellow leaf distortion virus,Cuba/5E17/2007,DNA-A: FJ174698;DNA-B: FJ999999,Complete genome,ToYLDV
Tomato yellow margin leaf curl virus,tomato yellow margin leaf curl virus,Venezuela/Merida/57,DNA-A: AY508993;DNA-B: AY508994,Complete genome,ToYMLCV
Tomato yellow mottle virus,tomato yellow mottle virus,Costa Rica/2003,DNA-A: KC176780;DNA-B: KC176781,Complete genome,ToYMoV
Tomato yellow spot virus,tomato yellow spot virus,Brazil/Bicas 2/1999,DNA-A: DQ336350;DNA-B: DQ336351,Complete genome,ToYSV
Tomato yellow vein streak virus,tomato yellow vein streak virus,Brazil/Potato/1983,DNA-A: EF417915;DNA-B: EF417916,Complete genome,ToYVSV
Triumfetta yellow mosaic virus,Triumfetta yellow mosaic virus,Brazil-Msj1-2010,DNA-A: KU131588;DNA-B: KU131589,Complete genome,TrYMV
Velvet bean golden mosaic virus,velvet bean golden mosaic virus,Taiwan-bgv6_5-2014,KU569583,Complete genome,VBGMV
Velvet bean severe mosaic virus,velvet bean severe mosaic virus,India/Lucknow/2008,DNA-A: FN543425;DNA-B: FN543426,Complete genome,VBSMV
Verbena mottle virus,Verbena mottle virus,CO-Valle-14,DNA-A: KX156611;DNA-B: KX156612,Complete genome,VMoV
Vernonia crinkle virus,Vernonia crinkle virus,Uganda-Na_UG7-2015,KX831132,Complete genome,VeCrV
Vernonia yellow vein Fujian virus,Vernonia yellow vein Fujian virus,CN-Fj-09,JF265670,Complete genome,VeYVFjV
Vernonia yellow vein virus,Vernonia yellow vein virus,India/Madurai/2005,DNA-A: AM182232,Complete genome,VeYVV
Vigna yellow mosaic virus,Vigna yellow mosaic virus,Mexico/Morelos/Yautepec/2007,DNA-A: KC430936,Complete genome,ViYMV
Vinca leaf curl virus,Vinca leaf curl virus,India-RK-2015,KR612272,Complete genome,VinLCV
Watermelon chlorotic stunt virus,watermelon chlorotic stunt virus,Yemen,DNA-A: AJ012081;DNA-B: AJ012082,Complete genome,WmCSV
West African Asystasia virus 1,West African Asystasia virus 1,West Africa/Asystasia1/2011,DNA-A: JF694484;DNA-B: JF694485,Complete genome,WAAV1
West African Asystasia virus 2,West African Asystasia virus 2,West Africa/Asystasia2/2011,DNA-A: JF694486,Complete genome,WAAV2
West African Asystasia virus 3,West African Asystasia virus 3,BJ-58-14,DNA-A: KT444609;DNA-B: KT444610,Complete genome,WAAV3
Whitefly-associated begomovirus 1,whitefly-asssociated begomovirus 1,Guatemala-GtSq11-2012,DNA-A: KT099124,Complete genome,WfaBV1
Whitefly-associated begomovirus 2,whitefly-asssociated begomovirus 2,Guatemala-GtSq5-2012,DNA-A: KT099125,Complete genome,WfaBV2
Whitefly-associated begomovirus 3,whitefly-asssociated begomovirus 3,Guatemala-GtSq10-2012,DNA-A: KT099127,Complete genome,WfaBV3
Whitefly-associated begomovirus 4,whitefly-asssociated begomovirus 4,Guatemala-GtSq8-2012,DNA-A: KT099128,Complete genome,WfaBV4
Whitefly-associated begomovirus 6,whitefly-asssociated begomovirus 6,Puerto Rico-PR10-2010,DNA-A: KT099139,Complete genome,WfaBV6
Whitefly-associated begomovirus 7,whitefly-asssociated begomovirus 7,Spain-Sp5_4-2011,KT099156,Complete genome,WfaBV7
Wissadula golden mosaic virus,Wissadula golden mosaic virus,Jamaica/St Thomas/2005,DNA-A: DQ395343;DNA-B: EU158095,Complete genome,WGMV
Wissadula yellow mosaic virus,Wissadula yellow mosaic virus,Brazil-ALW35_5B-2014,DNA-A: KX691411,Complete genome,WYMV
